Pitch,Zero Crossing Rate,RMS,Energy,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Label,File Name
24.650898,0.08264909986777813,0.18268998,0.0359453589391861,-134.75203,178.13184,-57.49979,68.92308,-10.870388,-10.4954405,25.147007,-24.492971,16.891575,0.038680952,-7.6697087,16.382986,-14.038027,Music,music-fma-0000.wav
8.152876,0.06629166800429263,0.31176078,0.10547240129217002,-113.22646,197.29704,-57.64612,53.314854,0.64847636,-6.677817,22.826162,-19.31123,9.603216,-5.5010676,-13.183675,8.936298,-14.299252,Music,music-fma-0001.wav
9.453231,0.057920085908449805,0.28739724,0.09219363766553695,-132.85065,183.8972,-36.37719,42.48678,3.5087311,-3.586749,15.043033,-18.504993,7.839672,-1.7382562,-9.033047,8.162238,-9.048168,Music,music-fma-0002.wav
6.8962903,0.05790250731219212,0.24527994,0.06534713379442689,-168.07964,196.69067,-30.525787,48.175793,2.3396606,-2.9102066,19.21891,-15.549281,10.977685,-0.15612397,-6.8028164,10.004465,-8.821464,Music,music-fma-0003.wav
15.138077,0.06368797974893269,0.21417512,0.05278708321859765,-156.92642,168.02748,-35.52232,58.77598,1.8501209,0.048632488,25.271805,-15.943006,13.305401,0.19550525,-8.590468,9.100079,-12.124179,Music,music-fma-0004.wav
10.392012,0.08615127153519674,0.22669923,0.059561595409638124,-139.04283,175.6516,-50.036728,50.34177,-17.794386,-17.274696,14.298604,-27.175707,11.187887,1.9427092,-3.4055078,15.84575,-8.585293,Music,music-fma-0005.wav
26.989027,0.13039173153664568,0.20994145,0.04796094617274886,-124.580765,171.45004,-83.04843,86.96265,-17.693941,-18.535831,30.070572,-35.40663,11.053203,-5.4164915,-13.78026,15.9070015,-16.390013,Music,music-fma-0006.wav
59.47263,0.1614063095397708,0.26946023,0.07779703031162448,-70.595764,179.70387,-109.93097,86.56062,-13.156566,-10.319298,37.57544,-30.5634,21.354263,-0.9967798,-5.955865,23.741909,-16.640148,Music,music-fma-0007.wav
53.080715,0.17585117585117585,0.21375927,0.04831486563089661,-95.96026,171.08128,-103.70294,85.14527,-16.557194,-16.540201,28.602053,-36.404423,13.094385,-8.788899,-11.83344,12.635944,-25.100693,Music,music-fma-0008.wav
20.218737,0.11273894669754732,0.23316592,0.056337510952700995,-113.83232,175.7232,-77.28248,101.03774,-14.184026,-6.3640604,42.82473,-34.04553,11.711408,-10.675807,-15.73844,17.520786,-20.216068,Music,music-fma-0009.wav
9.380086,0.08973200190808259,0.09898684,0.01220853068378967,-254.88661,149.8946,-29.289717,45.1382,11.574829,-3.1192083,21.567404,-2.732575,4.036034,-3.1532893,-3.5906124,3.42485,-11.452002,Music,music-fma-0010.wav
23.863214,0.11159783119455863,0.16650209,0.029819593549126038,-147.9935,178.08716,-66.92031,73.87586,-6.2303047,-7.5077567,25.57435,-27.61796,17.623343,-0.07781953,-7.098852,18.434464,-12.97082,Music,music-fma-0011.wav
27.401249,0.09493523519829696,0.18697019,0.040555937455890395,-129.78722,175.28639,-66.56101,64.04081,-5.8382883,-13.729714,22.39729,-24.870686,9.510481,-3.89348,-10.066564,13.677153,-14.309729,Music,music-fma-0012.wav
44.22618,0.10437575293599954,0.21750581,0.06293778733536513,-119.54894,166.321,-73.80443,46.23723,-13.809231,-10.884077,19.378742,-27.759373,13.074553,-2.2029405,-12.865366,11.481375,-13.126889,Music,music-fma-0013.wav
19.203405,0.07180277148574947,0.20709607,0.05452391993807769,-156.09793,163.98671,-55.321465,65.61762,-0.3233999,-9.728114,24.867811,-18.713224,9.214083,-3.9595113,-9.027264,11.601571,-13.173617,Music,music-fma-0014.wav
33.74569,0.1030607384061974,0.14983152,0.028171192816881466,-137.82649,179.04158,-76.309425,51.450993,-12.028456,-16.070726,19.71533,-26.011248,10.6147785,-3.0686884,-10.353399,13.144791,-13.063045,Music,music-fma-0015.wav
38.664948,0.10688840875971503,0.15135543,0.029033020474240875,-163.33174,162.21223,-74.4142,50.597786,-1.0627698,-4.724361,19.430859,-22.473324,15.137194,-3.8467827,-10.114075,13.55935,-12.784924,Music,music-fma-0016.wav
33.70162,0.11965876645787696,0.2529579,0.06626891799304405,-83.92378,192.1771,-89.60736,78.306145,-7.476289,-10.263707,30.430506,-29.785793,16.210062,-5.7782483,-12.455442,17.654835,-19.324326,Music,music-fma-0017.wav
